name,film,dob,d_award,age_award_wiki,award_d,age_award,type_award
Tommy Lee Jones,The Fugitive,15-Sep-46,21-Mar-94,"47 years, 187 days",1994,47.51,sup_actor
Martin Landau,Ed Wood,20-Jun-28,27-Mar-95,"66 years, 280 days",1995,66.77,sup_actor
Kevin Spacey,The Usual Suspects,26-Jul-59,25-Mar-96,"36 years, 243 days",1996,36.67,sup_actor
Cuba Gooding Jr,Jerry Maguire,2-Jan-68,24-Mar-97,"29 years, 81 days",1997,29.22,sup_actor
Robin Williams,Good Will Hunting,21-Jul-51,23-Mar-98,"46 years, 245 days",1998,46.67,sup_actor
James Coburn,Affliction,31-Aug-28,21-Mar-99,"70 years, 202 days",1999,70.55,sup_actor
Michael Caine,The Cider House Rules,14-Mar-33,26-Mar-00,"67 years, 12 days",2000,67.03,sup_actor
Benicio del Toro,Traffic,19-Feb-67,25-Mar-01,"34 years, 34 days",2001,34.09,sup_actor
Jim Broadbent,Iris,24-May-49,24-Mar-02,"52 years, 304 days",2002,52.83,sup_actor
Chris Cooper,Adaptation,9-Jul-51,23-Mar-03,"51 years, 257 days",2003,51.7,sup_actor
Tim Robbins,Mystic River,16-Oct-58,29-Feb-04,"45 years, 136 days",2004,45.37,sup_actor
Morgan Freeman,Million Dollar Baby,1-Jun-37,27-Feb-05,"67 years, 271 days",2005,67.74,sup_actor
George Clooney,Syriana,6-May-61,5-Mar-06,"44 years, 303 days",2006,44.83,sup_actor
Alan Arkin,Little Miss Sunshine,26-Mar-34,25-Feb-07,"72 years, 336 days",2007,72.92,sup_actor
Javier Bardem,No Country for Old Men,1-Mar-69,24-Feb-08,"38 years, 360 days",2008,38.98,sup_actor
Heath Ledger,The Dark Knight,4-Apr-79,22-Feb-09,N/A[1],2009,29.89,sup_actor
Christoph Waltz,Inglourious Basterds,4-Oct-56,7-Mar-10,"53 years, 154 days",2010,53.42,sup_actor
Christian Bale,The Fighter,30-Jan-74,27-Feb-11,"37 years, 28 days",2011,37.08,sup_actor
Christopher Plummer,Beginners,13-Dec-29,26-Feb-12,"82 years, 75 days",2012,82.2,sup_actor
Christoph Waltz,Django Unchained,4-Oct-56,24-Feb-13,"56 years, 143 days",2013,56.39,sup_actor
Gale Sondergaard,Anthony Adverse,15-Feb-1899,4-Mar-37,"38 years, 17 days",1937,38.05,sup_actress
Alice Brady,In Old Chicago,2-Nov-1892,10-Mar-38,"45 years, 128 days",1938,45.35,sup_actress
Fay Bainter,Jezebel,7-Dec-1893,23-Feb-39,"45 years, 78 days",1939,45.21,sup_actress
